;Unnamed: 0;index_of_processed_files;annotator_2nd_anno;check_fiction_status;Fiktionalitätsstatus_2nd_anno;Fiktionalitätsstatus_unsicher_2nd_anno;Kommentar_2nd_anno;author_forename;author_surname;title_main;title_sub;filepath;year;text_length_sents;text_length_clauses;text_length_tokens;reflective_passages_global;reflective_clauses;reflective_tokens;reflection_score_mean;gi_passages_global;gi_clauses;gi_tokens;nfr_passages_global;nfr_clauses;nfr_tokens;comment_passages_global;comment_clauses;comment_tokens;exception;setting;kolimo_index;annotator;to_annotate_first;to_annotate;author_name;title_main_anno;title_sub_anno;first_publication;Übersetzung_ins_Deutsche;Nicht-deutschsprachig;Nicht-Fiktional;Nicht-erzählend;Kommentar;author_surname_anno;author_forename_anno;author_gender;not_before;not_after;classification;number_of_works;canonisation_score;rank_canon;author_nationality_d_prose;refl_clauses_perc;nfr_clauses_perc;gi_clauses_perc;comment_clauses_perc
1346;2313.0;2313.0;;False;;;;Hermann;Essig;Der Taifun;None;/home/fbarth/GIT/pipy/main/kolimo_reflections/../../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/25386-Essig__Hermann.xml;1919.0;9135.0;15407.0;121690.0;2002.0;4291.0;30263.0;0.3984976347763778;979.0;2757.0;20148.0;236.0;597.0;4366.0;993.0;2257.0;15285.0;;;16202.0;;FALSCH;FALSCH;Hermann Essig;Der Taifun;None;1919;;;;;;Essig;Hermann;male;1878;1918;FIK;6.0;;;Deutschland;27.85097682871422;3.8748620756798857;17.894463555526706;14.649185435191797
1349;2318.0;2318.0;;False;;;;Franz;Kafka;Das Schloß;None;/home/fbarth/GIT/pipy/main/kolimo_reflections/../../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/gb/kafka/schloss/schloss.xml;1926.0;5585.0;16187.0;131965.0;2198.0;5903.0;45829.0;0.4304615947046171;891.0;2680.0;21588.0;227.0;730.0;5733.0;1256.0;4269.0;32483.0;;;16234.0;;FALSCH;FALSCH;Franz Kafka;Das Schloß;None;1926;;;;;;Kafka;Franz;None;None;None;FIK;114.0;;;;36.46753567677767;4.509791808241181;16.556495953542967;26.373015382714527
1351;2323.0;2323.0;;False;;;;Franz;Kafka;Die Brücke;None;/home/fbarth/GIT/pipy/main/kolimo_reflections/../../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/gb/kafka/bruecke/bruecke.xml;1931.0;29.0;55.0;363.0;3.0;4.0;26.0;0.3446104612148505;2.0;3.0;19.0;1.0;2.0;11.0;1.0;1.0;7.0;;;16273.0;Lennart;FALSCH;WAHR;Franz Kafka;Die Brücke;None;1931;;;;;;Kafka;Franz;None;None;None;FIK;114.0;;;;7.272727272727272;3.636363636363636;5.454545454545454;1.818181818181818
1360;2336.0;2336.0;;False;;;;Lena;Christ;Die Ostereier der Reiserbuben;None;/home/fbarth/GIT/pipy/main/kolimo_reflections/../../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/18368-Christ__Lena.xml;1919.0;81.0;142.0;1336.0;13.0;52.0;474.0;0.395214452483685;10.0;49.0;459.0;2.0;5.0;44.0;1.0;3.0;15.0;;;16345.0;;FALSCH;FALSCH;Lena Christ;Die Ostereier der Reiserbuben;None;1919;;;;;;Christ;Lena;female;1881;1920;FIK;26.0;;;Deutschland;36.61971830985916;3.5211267605633805;34.50704225352113;2.112676056338028
1361;2337.0;2337.0;;False;;;;Maria Luise;Weissmann;Kleines impromptu im Herbst;None;/home/fbarth/GIT/pipy/main/kolimo_reflections/../../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/109330-Weissmann__Maria_Luise.xml;1932.0;59.0;140.0;1061.0;17.0;44.0;328.0;0.3993737084080067;6.0;29.0;252.0;3.0;7.0;41.0;8.0;17.0;91.0;;;16347.0;Lennart;FALSCH;WAHR;Maria Luise Weissmann;Kleines impromptu im Herbst;None;1932;;;;;;Weissmann;Maria Luise;None;1899;1929;FIK;13.0;;;;31.428571428571427;5.0;20.714285714285715;12.142857142857142
1363;2340.0;2340.0;;False;;;;Paul;Ernst;Die verdoppelten Skudi;None;/home/fbarth/GIT/pipy/main/kolimo_reflections/../../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/25366-Ernst__Paul.xml;1920.0;132.0;269.0;1926.0;30.0;54.0;370.0;0.3830460582652448;17.0;47.0;327.0;8.0;22.0;125.0;11.0;27.0;176.0;;;16373.0;;FALSCH;FALSCH;Paul Ernst;Die verdoppelten Skudi;None;1920;;;;;;Ernst;Paul;male;1866;1933;FIK;76.0;;;Deutschland;20.074349442379184;8.178438661710038;17.472118959107807;10.037174721189592
1375;2358.0;2358.0;Frida;True;fik;;;Erich;Mühsam;Kindliche Fragen;None;/home/fbarth/GIT/pipy/main/kolimo_reflections/../../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/80057-M_hsam__Erich.xml;1928.0;154.0;227.0;1771.0;50.0;91.0;617.0;0.4463796003790101;28.0;77.0;528.0;14.0;47.0;329.0;20.0;54.0;380.0;;;16512.0;Lennart;FALSCH;WAHR;Erich Mühsam;Kindliche Fragen;None;1928;;;;;;Mühsam;Erich;None;1878;1934;FUF;38.0;;;;40.08810572687225;20.70484581497797;33.92070484581498;23.788546255506606
1377;2361.0;2361.0;;False;;;;Stefan;George;Der Brand des Tempels;None;/home/fbarth/GIT/pipy/main/kolimo_reflections/../../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/29217-George__Stefan.xml;1928.0;213.0;264.0;1527.0;43.0;68.0;361.0;0.3925323644873567;19.0;39.0;209.0;7.0;11.0;62.0;20.0;38.0;215.0;;;16534.0;Lennart;FALSCH;WAHR;Stefan George;Der Brand des Tempels;None;1928;;;;;;George;Stefan;None;1868;1933;FIK;36.0;;;;25.75757575757576;4.166666666666666;14.772727272727272;14.393939393939394
1379;2367.0;2367.0;;False;;;;Klabund;None;Bartholomäus und der junge Mann;None;/home/fbarth/GIT/pipy/main/kolimo_reflections/../../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/67333-Klabund.xml;1918.0;122.0;179.0;1516.0;20.0;32.0;173.0;0.3785429999239735;9.0;17.0;100.0;4.0;8.0;47.0;9.0;22.0;123.0;;;16553.0;Lennart;FALSCH;WAHR;Klabund;Bartholomäus und der junge Mann;None;1918;;;;;;None;Klabund;None;1890;1928;FIK;101.0;;;;17.877094972067038;4.46927374301676;9.497206703910614;12.290502793296088
1383;2375.0;2375.0;;False;;;;Paul;Ernst;Der Fund;None;/home/fbarth/GIT/pipy/main/kolimo_reflections/../../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/25363-Ernst__Paul.xml;1920.0;75.0;220.0;1914.0;26.0;84.0;724.0;0.4259866401143828;11.0;63.0;575.0;6.0;18.0;192.0;14.0;41.0;350.0;;;16593.0;;FALSCH;FALSCH;Paul Ernst;Der Fund;None;1920;;;;;;Ernst;Paul;male;1866;1933;FIK;76.0;;;Deutschland;38.18181818181819;8.181818181818182;28.63636363636364;18.63636363636364
1385;2378.0;2378.0;;False;;;;Paul;Ernst;Die Ostermesse;None;/home/fbarth/GIT/pipy/main/kolimo_reflections/../../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/25353-Ernst__Paul.xml;1920.0;114.0;313.0;2610.0;29.0;88.0;651.0;0.3856020581598134;16.0;77.0;556.0;6.0;13.0;111.0;11.0;18.0;136.0;;;16623.0;;FALSCH;FALSCH;Paul Ernst;Die Ostermesse;None;1920;;;;;;Ernst;Paul;male;1866;1933;FIK;76.0;;;Deutschland;28.11501597444089;4.15335463258786;24.600638977635786;5.7507987220447285
1401;2413.0;2413.0;Frida;True;fik;;;Paul;Ernst;Das Ende;None;/home/fbarth/GIT/pipy/main/kolimo_reflections/../../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/25376-Ernst__Paul.xml;1920.0;96.0;189.0;1594.0;26.0;75.0;573.0;0.4289371799758435;16.0;64.0;507.0;6.0;23.0;193.0;8.0;31.0;229.0;;;16943.0;;FALSCH;FALSCH;Paul Ernst;Das Ende;None;1920;;;;;;Ernst;Paul;male;1866;1933;FIK;76.0;;;Deutschland;39.68253968253968;12.16931216931217;33.86243386243386;16.402116402116402
1410;2430.0;2430.0;;False;;;;Theodor;Storm;»Dree to beed«;None;/home/fbarth/GIT/pipy/main/kolimo_reflections/../../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/99906-Storm__Theodor.xml;1919.0;26.0;63.0;451.0;6.0;15.0;91.0;0.3814014758545945;3.0;12.0;79.0;1.0;2.0;24.0;4.0;5.0;36.0;;;17077.0;Lennart;FALSCH;WAHR;Theodor Storm;»Dree to beed«;None;1919;;;;;;Storm;Theodor;None;1817;1888;FIK;80.0;;;;23.809523809523807;3.1746031746031744;19.047619047619047;7.936507936507936
1418;2443.0;2443.0;;False;;;;Theodor;Storm;Das Märchen von den drei Spinnfrauen;None;/home/fbarth/GIT/pipy/main/kolimo_reflections/../../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/99904-Storm__Theodor.xml;1919.0;75.0;198.0;1618.0;16.0;26.0;181.0;0.3613706319405987;6.0;13.0;107.0;2.0;2.0;15.0;9.0;16.0;97.0;;;17171.0;Lennart;FALSCH;WAHR;Theodor Storm;Das Märchen von den drei Spinnfrauen;None;1919;;;;;;Storm;Theodor;None;1817;1888;FIK;80.0;;;;13.131313131313131;1.0101010101010102;6.565656565656567;8.080808080808081
